Date,Price
2016-05-18,0.702677
2016-05-19,0.702207
2016-05-20,0.397294
2016-05-21,0.354221
2016-05-22,0.874253
2016-05-23,0.529565
2016-05-24,0.532729
2016-05-25,0.981332
2016-05-26,1.8
2016-05-27,0.817805
2016-05-28,0.988342
2016-05-29,1.02
2016-05-30,1.01
2016-05-31,0.162506
2016-06-01,0.315382
2016-06-02,0.426468
2016-06-03,1.61
2016-06-04,1.53
2016-06-05,1.41
2016-06-06,0.467791
2016-06-07,0.430879
2016-06-08,0.172068
2016-06-09,0.176995
2016-06-10,0.16625
2016-06-11,0.058165
2016-06-12,0.064523
2016-06-13,0.066515
2016-06-14,0.066347
2016-06-15,0.067991
2016-06-16,0.341227
2016-06-17,0.071727
2016-06-18,0.07354
2016-06-19,0.074645
2016-06-20,0.074287
2016-06-21,0.028758
2016-06-22,0.029615
2016-06-23,0.025277
2016-06-24,0.028144
2016-06-25,0.033681
2016-06-26,0.037106
2016-06-27,0.043338
2016-06-28,0.045175
2016-06-29,0.031736
2016-06-30,0.031964
2016-07-01,0.034819
2016-07-02,0.047461
2016-07-03,0.045437
2016-07-04,0.045536
2016-07-05,0.055533
2016-07-06,0.056033
2016-07-07,0.051345
2016-07-08,0.030171
2016-07-09,0.029377
2016-07-10,0.029764
2016-07-11,0.056745
2016-07-12,0.029223
2016-07-13,0.052516
2016-07-15,0.029968
2016-07-16,0.030036
2016-07-19,0.030233
2016-07-20,0.029851
2016-07-22,0.029103
2016-07-23,0.029184
2016-07-24,0.008541
2016-07-25,0.00854
2016-07-26,0.008442
2016-07-27,0.008482
2016-07-28,0.008561
2016-07-29,0.008562
2016-07-30,0.013117
2016-07-31,0.003909
2016-08-01,0.003641
2016-08-02,0.003588
2016-08-03,0.003314
2016-08-04,0.003415
2016-08-05,0.003566
2016-08-06,0.003542
2016-08-10,0.056108
2016-08-11,0.005666
2016-08-12,0.003573
2016-08-13,0.00468
2016-08-14,0.003462
2016-08-15,0.004372
2016-08-16,0.004482
2016-08-17,0.00458
2016-08-18,0.017169
2016-08-19,0.017174
2016-08-21,0.005823
2016-08-22,0.006456
2016-08-23,0.027894
2016-08-24,0.017396
2016-08-25,0.006933
2016-08-26,0.005791
2016-08-27,0.003997
2016-08-28,0.004005
2016-08-29,0.004046
2016-08-30,0.004323
2016-08-31,0.00432
2016-09-01,0.004409
2016-09-02,0.004401
2016-09-03,0.005896
2016-09-04,0.014937
2016-09-05,0.042157
2016-09-06,0.042422
2016-09-07,0.042596
2016-09-08,0.009525
2016-09-09,0.009459
2016-09-10,0.009403
2016-09-11,0.011246
2016-09-12,0.015505
2016-09-13,0.036419
2016-09-15,0.015501
2016-09-16,0.02125
2016-09-17,0.039338
2016-09-18,0.04241
2016-09-19,0.121763
2016-09-20,0.054714
2016-09-21,0.053791
2016-09-22,0.055448
2016-09-23,0.048288
2016-09-24,0.030308
2016-09-25,0.030129
2016-09-26,0.030161
2016-09-27,0.016045
2016-09-28,0.007751
2016-09-29,0.007795
2016-09-30,0.007818
2016-10-01,0.007964
2016-10-02,0.023967
2016-10-03,0.015622
2016-10-04,0.016005
2016-10-05,0.02392
2016-10-06,0.036711
2016-10-07,0.036709
2016-10-08,0.012044
2016-10-09,0.012354
2016-10-10,0.018632
2016-10-11,0.021957
2016-10-12,0.024241
2016-10-13,0.024138
2016-10-14,0.024198
2016-10-15,0.019759
2016-10-16,0.019798
2016-10-17,0.048532
2016-10-18,0.048572
2016-10-21,0.022102
2016-10-22,0.036957
2016-10-23,0.020277
2016-10-24,0.02023
2016-10-25,0.032619
2016-10-27,0.03367
2016-10-28,0.014571
2016-10-29,0.015262
2016-10-30,0.01542
2016-10-31,0.015314
2016-11-01,0.016122
2016-11-02,0.016629
2016-11-03,0.015618
2016-11-04,0.015788
2016-11-05,0.012619
2016-11-06,0.007212
2016-11-07,0.007069
2016-11-08,0.00707
2016-11-09,0.007216
2016-11-10,0.007142
2016-11-11,0.009873
2016-11-12,0.012778
2016-11-13,0.033144
2016-11-14,0.007738
2016-11-15,0.008115
2016-11-16,0.014913
2016-11-17,0.014958
2016-11-18,0.018657
2016-11-19,0.008679
2016-11-20,0.00737
2016-11-21,0.003785
2016-11-22,0.005539
2016-11-23,0.00266
2016-11-24,0.002497
2016-11-25,0.002358
2016-11-26,0.002349
2016-11-28,0.005135
2016-11-29,0.002724
2016-11-30,0.005127
2016-12-01,0.005207
2016-12-02,0.005074
2016-12-03,0.00248
2016-12-04,0.002473
2016-12-05,0.000496
2016-12-06,0.000501
2016-12-07,0.00305
2016-12-08,0.003048
2016-12-09,0.003084
2016-12-10,0.002474
2016-12-11,0.002454
2016-12-12,0.002338
2016-12-13,0.00234
2016-12-14,0.003496
2016-12-16,0.002358
2016-12-17,0.002362
2016-12-18,0.003735
2016-12-19,0.003746
2016-12-20,0.003957
2016-12-21,0.004365
2016-12-22,0.004554
2016-12-23,0.007527
2016-12-24,0.007472
2016-12-25,0.007167
2016-12-26,0.002242
2016-12-27,0.002266
2016-12-28,0.004601
2016-12-29,0.002021
2016-12-30,0.000811
2016-12-31,0.000805
2017-01-01,0.000882
2017-01-02,0.000947
2017-01-03,0.00095
2017-01-04,0.001784
2017-01-05,0.000412
2017-01-06,0.00038
2017-01-07,0.001639
2017-01-08,0.002662
2017-01-09,0.002621
2017-01-10,0.001359
2017-01-11,0.002189
2017-01-12,0.001965
2017-01-13,0.002089
2017-01-14,0.001804
2017-01-15,0.001805
2017-01-16,0.003875
2017-01-17,0.003154
2017-01-18,0.003285
2017-01-19,0.006288
2017-01-20,0.008427
2017-01-21,0.012934
2017-01-22,0.009056
2017-01-23,0.013288
2017-01-24,0.012528
2017-01-25,0.005111
2017-01-26,0.005125
2017-01-27,0.010295
2017-01-28,0.010228
2017-01-29,0.005322
2017-01-30,0.005324
2017-01-31,0.007169
2017-02-01,0.002648
2017-02-02,0.001883
2017-02-03,0.001927
2017-02-04,0.00454
2017-02-05,0.003067
2017-02-06,0.003923
2017-02-07,0.003152
2017-02-08,0.002406
2017-02-09,0.002989
2017-02-10,0.00285
2017-02-11,0.003484
2017-02-12,0.002235
2017-02-13,0.002186
2017-02-14,0.002201
2017-02-15,0.002208
2017-02-16,0.002485
2017-02-17,0.002513
2017-02-18,0.00335
2017-02-19,0.002295
2017-02-20,0.002246
2017-02-21,0.002283
2017-02-22,0.002235
2017-02-23,0.002168
2017-02-24,0.002151
2017-02-25,0.002575
2017-02-26,0.002315
2017-02-27,0.002331
2017-02-28,0.002614
2017-03-01,0.002297
2017-03-02,0.002265
2017-03-03,0.002664
2017-03-04,0.002329
2017-03-05,0.002625
2017-03-06,0.002681
2017-03-07,0.00265
2017-03-08,0.002105
2017-03-09,0.00144
2017-03-10,0.002206
2017-03-11,0.002266
2017-03-12,0.002254
2017-03-13,0.00219
2017-03-14,0.001576
2017-03-15,0.001536
2017-03-16,0.001491
2017-03-17,0.001462
2017-03-18,0.001274
2017-03-19,0.001299
2017-03-20,0.001824
2017-03-21,0.001116
2017-03-22,0.001024
2017-03-23,0.000789
2017-03-24,0.001546
2017-03-25,0.000793
2017-03-26,0.000813
2017-03-27,0.000758
2017-03-28,0.001274
2017-03-29,0.000353
2017-03-30,0.000354
2017-03-31,0.000647
2017-04-01,0.000544
2017-04-02,0.000688
2017-04-03,0.000564
2017-04-04,0.000572
2017-04-05,0.000558
2017-04-06,0.000628
2017-04-07,0.00064
2017-04-08,0.000872
2017-04-09,0.001081
2017-04-10,0.001073
2017-04-11,0.001147
2017-04-12,0.000886
2017-04-13,0.000888
2017-04-14,0.000982
2017-04-15,0.001067
2017-04-16,0.000941
2017-04-17,0.000938
2017-04-18,0.000955
2017-04-19,0.000615
2017-04-20,0.000616
2017-04-21,0.000353
2017-04-22,0.000355
2017-04-23,0.000602
2017-04-24,0.000605
