Date,Price
2016-01-01,427.52
2016-01-02,431.87
2016-01-03,424.71
2016-01-04,429.08
2016-01-05,429.68
2016-01-06,426.34
2016-01-07,429.08
2016-01-08,447.94
2016-01-09,446.89
2016-01-10,440.35
2016-01-11,443.86
2016-01-12,435.69
2016-01-13,424.44
2016-01-14,427.85
2016-01-15,364.33
2016-01-16,354.91
2016-01-17,380.09
2016-01-18,376.67
2016-01-19,378.97
2016-01-20,376.6
2016-01-21,406.3
2016-01-22,375.28
2016-01-23,381.98
2016-01-24,387.51
2016-01-25,388.55
2016-01-26,390.58
2016-01-27,391.78
2016-01-28,379.73
2016-01-29,365.45
2016-01-30,376.49
2016-01-31,367.83
2016-02-01,367.96
2016-02-02,372.92
2016-02-03,368.05
2016-02-04,369.99
2016-02-05,385.57
2016-02-06,372.39
2016-02-07,374.9
2016-02-08,373.33
2016-02-09,372.9
2016-02-10,375.78
2016-02-11,376.4
2016-02-12,379.6
2016-02-13,384.64
2016-02-14,392.93
2016-02-15,397.75
2016-02-16,401.43
2016-02-17,406.78
2016-02-18,415.64
2016-02-19,417.6
2016-02-20,421.6
2016-02-21,429.08
2016-02-22,432.92
2016-02-23,417.82
2016-02-24,413.91
2016-02-25,420.42
2016-02-26,421.62
2016-02-27,428.1
2016-02-28,423.82
2016-02-29,431.69
2016-03-01,432.32
2016-03-02,423.99
2016-03-03,419.41
2016-03-04,410.94
2016-03-05,394.04
2016-03-06,395.78
2016-03-07,406.31
2016-03-08,411.09
2016-03-09,411.61
2016-03-10,413.25
2016-03-11,417.01
2016-03-12,410.09
2016-03-13,411.64
2016-03-14,414.2
2016-03-15,414.98
2016-03-16,415.91
2016-03-17,417.89
2016-03-18,406.14
2016-03-19,407.23
2016-03-20,410.4
2016-03-21,410.38
2016-03-22,412.53
2016-03-23,417.36
2016-03-24,415.49
2016-03-25,415.56
2016-03-26,416.26
2016-03-27,417.71
2016-03-28,423.29
2016-03-29,412.68
2016-03-30,412.5
2016-03-31,415.26
2016-04-01,415.83
2016-04-02,418.42
2016-04-03,419.7
2016-04-04,419.6
2016-04-05,420.61
2016-04-06,422.73
2016-04-07,420.52
2016-04-08,419.64
2016-04-09,416.52
2016-04-10,419.26
2016-04-11,420.53
2016-04-12,422.84
2016-04-13,422.92
2016-04-14,423.01
2016-04-15,424.43
2016-04-16,428.98
2016-04-17,426.08
2016-04-18,427.09
2016-04-19,428.1
2016-04-20,434.41
2016-04-21,440.95
2016-04-22,444.15
2016-04-23,444.33
2016-04-24,448.93
2016-04-25,453.59
2016-04-26,461.62
2016-04-27,444.13
2016-04-28,436.65
2016-04-29,446.02
2016-04-30,447.7
2016-05-01,447.93
2016-05-02,441.78
2016-05-03,442.62
2016-05-04,445.63
2016-05-05,445.88
2016-05-06,447.07
2016-05-07,457.32
2016-05-08,455.98
2016-05-09,456.53
2016-05-10,448.95
2016-05-11,450.86
2016-05-12,449.25
2016-05-13,453.45
2016-05-14,454.79
2016-05-15,455.46
2016-05-16,452.95
2016-05-17,453.61
2016-05-18,453.3
2016-05-19,438.71
2016-05-20,437.39
2016-05-21,441.71
2016-05-22,439.04
2016-05-23,438.82
2016-05-24,443.93
2016-05-25,446.06
2016-05-26,447.9
2016-05-27,453.52
2016-05-28,472.7
2016-05-29,512.18
2016-05-30,522.96
2016-05-31,520.66
2016-06-01,525.64
2016-06-02,533.08
2016-06-03,536.92
2016-06-04,564.24
2016-06-05,569.18
2016-06-06,574.6
2016-06-07,567.51
2016-06-08,573.13
2016-06-09,570.95
2016-06-10,573.33
2016-06-11,578.67
2016-06-12,607.04
2016-06-13,664.49
2016-06-14,662.8
2016-06-15,672.56
2016-06-16,696.52
2016-06-17,716.56
2016-06-18,733.93
2016-06-19,745.63
2016-06-20,732.73
2016-06-21,639.07
2016-06-22,587.48
2016-06-23,558.14
2016-06-24,625.27
2016-06-25,646.56
2016-06-26,616.93
2016-06-27,620.52
2016-06-28,637.77
2016-06-29,628.28
2016-06-30,636.61
2016-07-01,669.59
2016-07-02,676.4
2016-07-03,649.01
2016-07-04,650.51
2016-07-05,665.07
2016-07-06,670.42
2016-07-07,611.83
2016-07-08,636.47
2016-07-09,633.4
2016-07-10,641.26
2016-07-11,644.98
2016-07-12,646.78
2016-07-13,654.47
2016-07-14,652.92
2016-07-15,659.04
2016-07-16,659.33
2016-07-17,661.99
2016-07-18,668.63
2016-07-19,667.63
2016-07-20,663.36
2016-07-21,660.41
2016-07-22,646.72
2016-07-23,648.52
2016-07-24,652.79
2016-07-25,653.4
2016-07-26,645.88
2016-07-27,648.45
2016-07-28,654.49
2016-07-29,654.79
2016-07-30,654.21
2016-07-31,624.36
2016-08-01,605.88
2016-08-02,531.33
2016-08-03,541.55
2016-08-04,565.78
2016-08-05,569.98
2016-08-06,569.47
2016-08-07,586.82
2016-08-08,588.05
2016-08-09,584.79
2016-08-10,586.37
2016-08-11,589.12
2016-08-12,583.81
2016-08-13,584.98
2016-08-14,564.78
2016-08-15,563.24
2016-08-16,566.72
2016-08-17,571.43
2016-08-18,573.43
2016-08-19,574.18
2016-08-20,575.46
2016-08-21,580.22
2016-08-22,580.59
2016-08-23,581.63
2016-08-24,579.85
2016-08-25,575.17
2016-08-26,576.86
2016-08-27,568.63
2016-08-28,569.74
2016-08-29,573.47
2016-08-30,574.11
2016-08-31,573.64
2016-09-01,571.81
2016-09-02,570.81
2016-09-03,574.06
2016-09-04,596.85
2016-09-05,602.24
2016-09-06,605.09
2016-09-07,608.51
2016-09-08,613.84
2016-09-09,620.26
2016-09-10,622.4
2016-09-11,600.51
2016-09-12,605.41
2016-09-13,606.92
2016-09-14,608.41
2016-09-15,607.16
2016-09-16,606.73
2016-09-17,605.19
2016-09-18,605.86
2016-09-19,608.27
2016-09-20,607.94
2016-09-21,595.88
2016-09-22,596.21
2016-09-23,595.79
2016-09-24,602.04
2016-09-25,599.71
2016-09-26,600.35
2016-09-27,604.11
2016-09-28,604.61
2016-09-29,604.85
2016-09-30,604.14
2016-10-01,609.93
2016-10-02,609.68
2016-10-03,610.46
2016-10-04,609.48
2016-10-05,609.62
2016-10-06,611.47
2016-10-07,611.82
2016-10-08,617.34
2016-10-09,616.61
2016-10-10,616.2
2016-10-11,618.5
2016-10-12,635.97
2016-10-13,635.03
2016-10-14,637.01
2016-10-15,637.39
2016-10-16,638.9
2016-10-17,638.66
2016-10-18,636.0
2016-10-19,628.01
2016-10-20,628.26
2016-10-21,630.69
2016-10-22,632.85
2016-10-23,653.89
2016-10-24,652.59
2016-10-25,653.7
2016-10-26,657.68
2016-10-27,678.04
2016-10-28,684.16
2016-10-29,690.05
2016-10-30,696.47
2016-10-31,691.68
2016-11-01,701.34
2016-11-02,722.35
2016-11-03,678.16
2016-11-04,685.56
2016-11-05,697.74
2016-11-06,699.56
2016-11-07,699.9
2016-11-08,702.39
2016-11-09,708.61
2016-11-10,711.21
2016-11-11,714.41
2016-11-12,704.03
2016-11-13,687.32
2016-11-14,699.81
2016-11-15,705.26
2016-11-16,709.04
2016-11-17,739.51
2016-11-18,736.89
2016-11-19,744.47
2016-11-20,717.94
2016-11-21,730.51
2016-11-22,736.53
2016-11-23,738.92
2016-11-24,733.49
2016-11-25,734.59
2016-11-26,729.63
2016-11-27,731.09
2016-11-28,732.48
2016-11-29,734.56
2016-11-30,736.27
2016-12-01,746.05
2016-12-02,757.54
2016-12-03,764.86
2016-12-04,768.16
2016-12-05,751.71
2016-12-06,758.72
2016-12-07,759.75
2016-12-08,765.95
2016-12-09,769.65
2016-12-10,772.91
2016-12-11,765.41
2016-12-12,770.04
2016-12-13,777.96
2016-12-14,776.84
2016-12-15,777.8
2016-12-16,778.96
2016-12-17,784.86
2016-12-18,788.03
2016-12-19,790.32
2016-12-20,791.5
2016-12-21,799.41
2016-12-22,834.15
2016-12-23,864.68
2016-12-24,886.34
2016-12-25,862.42
2016-12-26,896.9
2016-12-27,904.26
2016-12-28,934.83
2016-12-29,954.5
2016-12-30,934.83
2016-12-31,947.24
2017-01-01,958.7
2017-01-02,996.7
2017-01-03,1021.6
2017-01-04,1044.4
2017-01-05,910.42
2017-01-06,883.94
2017-01-07,823.56
2017-01-08,887.25
2017-01-09,879.81
2017-01-10,901.06
2017-01-11,762.77
2017-01-12,755.76
2017-01-13,780.0
2017-01-14,812.46
2017-01-15,812.87
2017-01-16,820.27
2017-01-17,830.8
2017-01-18,858.3
2017-01-19,884.34
2017-01-20,887.01
2017-01-21,895.53
2017-01-22,897.56
2017-01-23,916.74
2017-01-24,892.29
2017-01-25,891.69
2017-01-26,902.22
2017-01-27,915.85
2017-01-28,919.81
2017-01-29,919.15
2017-01-30,919.47
2017-01-31,920.96
2017-02-01,970.74
2017-02-02,983.22
2017-02-03,1008.79
2017-02-04,1015.16
2017-02-05,1022.37
2017-02-06,1028.16
2017-02-07,1040.14
2017-02-08,1037.49
2017-02-09,953.34
2017-02-10,946.69
2017-02-11,982.83
2017-02-12,996.92
2017-02-13,976.0
2017-02-14,986.47
2017-02-15,1001.58
2017-02-16,1007.65
2017-02-17,1025.64
2017-02-18,1046.96
2017-02-19,1043.46
2017-02-20,1041.69
2017-02-21,1076.93
2017-02-22,1100.55
2017-02-23,1116.96
2017-02-24,1131.96
2017-02-25,1124.59
2017-02-26,1130.2
2017-02-27,1163.38
2017-02-28,1171.82
2017-03-01,1179.69
2017-03-02,1215.62
2017-03-03,1250.71
2017-03-04,1230.51
2017-03-05,1238.06
2017-03-06,1264.6
2017-03-07,1204.8
2017-03-08,1148.08
2017-03-09,1141.23
2017-03-10,1077.25
2017-03-11,1116.32
2017-03-12,1175.36
2017-03-13,1217.03
2017-03-14,1220.72
2017-03-15,1239.75
2017-03-16,1152.44
2017-03-17,1099.57
2017-03-18,957.66
2017-03-19,976.73
2017-03-20,1036.68
2017-03-21,1055.36
2017-03-22,1014.21
2017-03-23,1028.93
2017-03-24,934.36
2017-03-25,903.71
2017-03-26,954.19
2017-03-27,971.98
2017-03-28,1027.73
2017-03-29,1015.88
2017-03-30,1020.04
2017-03-31,1026.64
2017-04-01,1061.09
2017-04-02,1075.45
2017-04-03,1102.95
2017-04-04,1120.52
2017-04-05,1113.63
2017-04-06,1125.81
2017-04-07,1163.39
2017-04-08,1162.58
2017-04-09,1171.86
2017-04-10,1179.04
2017-04-11,1187.46
2017-04-12,1196.76
2017-04-13,1156.44
2017-04-14,1159.79
2017-04-15,1164.96
2017-04-16,1172.61
2017-04-17,1172.65
2017-04-18,1193.77
2017-04-19,1205.08
2017-04-20,1208.41
2017-04-21,1215.56
2017-04-22,1208.47
2017-04-23,1203.94
2017-04-24,1209.63
2017-04-25,1249.97
2017-04-26,1265.93
2017-04-27,1281.3
2017-04-28,1292.37
2017-04-29,1315.21
2017-04-30,1314.92
2017-05-01,1348.3
2017-05-02,1415.69
2017-05-03,1447.49
2017-05-04,1490.72
2017-05-05,1530.31
2017-05-06,1542.5
2017-05-07,1559.76
2017-05-08,1596.92
2017-05-09,1716.3
2017-05-10,1719.1
2017-05-11,1755.35
2017-05-12,1694.01
2017-05-13,1651.08
2017-05-14,1776.62
2017-05-15,1708.54
2017-05-16,1686.54
2017-05-17,1661.91
2017-05-18,1807.12
2017-05-19,1890.25
2017-05-20,1974.92
2017-05-21,2037.5
2017-05-22,2017.87
2017-05-23,2178.5
2017-05-24,2321.37
2017-05-25,2285.3
2017-05-26,2071.99
2017-05-27,1855.83
2017-05-28,2054.08
2017-05-29,2107.17
2017-05-30,2124.57
2017-05-31,2145.57
2017-06-01,2288.33
2017-06-02,2373.32
2017-06-03,2423.57
2017-06-04,2452.54
2017-06-05,2510.22
2017-06-06,2690.84
2017-06-07,2700.56
2017-06-08,2670.95
2017-06-09,2795.62
2017-06-10,2746.55
2017-06-11,2840.53
2017-06-12,2518.56
2017-06-13,2650.38
2017-06-14,2412.94
2017-06-15,2212.96
2017-06-16,2385.15
2017-06-17,2484.96
2017-06-18,2516.33
2017-06-19,2549.03
2017-06-20,2589.82
2017-06-21,2660.4
2017-06-22,2642.36
2017-06-23,2706.37
2017-06-24,2583.19
2017-06-25,2552.12
2017-06-26,2376.29
2017-06-27,2332.99
2017-06-28,2484.42
2017-06-29,2510.48
2017-06-30,2478.43
2017-07-01,2419.23
2017-07-02,2394.84
2017-07-03,2480.47
2017-07-04,2559.35
2017-07-05,2538.55
2017-07-06,2581.69
2017-07-07,2498.87
2017-07-08,2492.31
2017-07-09,2517.59
2017-07-10,2321.13
2017-07-11,2296.81
2017-07-12,2275.14
2017-07-13,2340.83
2017-07-14,2183.22
2017-07-15,1990.41
2017-07-16,1843.03
2017-07-17,1932.62
2017-07-18,2164.77
2017-07-19,2260.23
2017-07-20,2269.89
2017-07-21,2621.85
2017-07-22,2657.71
2017-07-23,2653.94
2017-07-24,2699.19
2017-07-25,2480.96
2017-07-26,2450.8
2017-07-27,2529.34
2017-07-28,2679.73
2017-07-29,2692.8
2017-07-30,2644.85
2017-07-31,2720.61
2017-08-01,2685.61
2017-08-02,2668.59
2017-08-03,2685.14
2017-08-04,2743.72
2017-08-05,2874.83
2017-08-06,3155.6
2017-08-07,3180.89
2017-08-08,3345.83
2017-08-09,3247.67
2017-08-10,3319.47
2017-08-11,3372.12
2017-08-12,3613.7
2017-08-13,3857.8
2017-08-14,3989.16
2017-08-15,3906.18
2017-08-16,3994.42
2017-08-17,4243.71
2017-08-18,4015.4
2017-08-19,3970.55
2017-08-20,4069.88
2017-08-21,3988.6
2017-08-22,3674.58
2017-08-23,4078.41
2017-08-24,4130.26
2017-08-25,4307.35
2017-08-26,4269.52
2017-08-27,4317.29
2017-08-28,4224.64
2017-08-29,4352.13
2017-08-30,4471.41
2017-08-31,4549.4
2017-09-01,4678.53
2017-09-02,4469.24
2017-09-03,4417.59
2017-09-04,4108.4
2017-09-05,3998.11
2017-09-06,4376.59
2017-09-07,4491.33
2017-09-08,4075.18
2017-09-09,4114.11
2017-09-10,3951.04
2017-09-11,4099.4
2017-09-12,4085.22
2017-09-13,3789.92
2017-09-14,3153.86
2017-09-15,2946.62
2017-09-16,3487.79
2017-09-17,3445.64
2017-09-18,3591.09
2017-09-19,3868.87
2017-09-20,3857.73
2017-09-21,3613.63
2017-09-22,3553.53
2017-09-23,3594.58
2017-09-24,3666.9
2017-09-25,3681.58
2017-09-26,3869.9
2017-09-27,3884.82
2017-09-28,4109.7
2017-09-29,4039.29
2017-09-30,4160.86
2017-10-01,4269.81
2017-10-02,4377.46
2017-10-03,4258.89
2017-10-04,4210.42
2017-10-05,4164.05
2017-10-06,4320.53
2017-10-07,4321.05
2017-10-08,4405.64
2017-10-09,4564.25
2017-10-10,4765.1
2017-10-11,4751.63
2017-10-12,4822.0
2017-10-13,5436.85
2017-10-14,5591.64
2017-10-15,5478.61
2017-10-16,5544.21
2017-10-17,5472.72
2017-10-18,5151.44
2017-10-19,5531.06
2017-10-20,5627.23
2017-10-21,5965.07
2017-10-22,5792.34
2017-10-23,5732.47
2017-10-24,5504.18
2017-10-25,5397.88
2017-10-26,5721.22
2017-10-27,5728.82
2017-10-28,5689.19
2017-10-29,5724.58
2017-10-30,6040.85
2017-10-31,6103.33
2017-11-01,6377.88
2017-11-02,6758.72
2017-11-03,7002.94
2017-11-04,7031.28
2017-11-05,7333.19
2017-11-06,7007.31
2017-11-07,7023.1
2017-11-08,7114.02
2017-11-09,7101.52
2017-11-10,6436.87
2017-11-11,6204.22
2017-11-12,5519.01
2017-11-13,5844.29
2017-11-14,6461.75
2017-11-15,6634.76
2017-11-16,7176.58
2017-11-17,7561.09
2017-11-18,7463.44
2017-11-19,7694.1
2017-11-20,7949.36
2017-11-21,7762.71
2017-11-22,8075.47
2017-11-23,8038.77
2017-11-24,7940.93
2017-11-25,8191.15
2017-11-26,8775.59
2017-11-27,9352.72
2017-11-28,9736.3
2017-11-29,9601.03
2017-11-30,9202.05
2017-12-01,9694.65
2017-12-02,10905.1
2017-12-03,10862.0
2017-12-04,11081.8
2017-12-05,11604.6
2017-12-06,11923.4
2017-12-07,14057.3
2017-12-08,14336.9
2017-12-09,13674.9
2017-12-10,13226.6
2017-12-11,15404.8
2017-12-12,16571.6
2017-12-13,16039.7
2017-12-14,16185.9
2017-12-15,16601.3
2017-12-16,17515.3
2017-12-17,18974.1
2017-12-18,18355.9
2017-12-19,17275.4
2017-12-20,16077.7
2017-12-21,15342.7
2017-12-22,11833.0
2017-12-23,13828.8
2017-12-24,12747.7
2017-12-25,13448.9
2017-12-26,14028.9
2017-12-27,15114.3
2017-12-28,13937.3
2017-12-29,14307.0
2017-12-30,12350.1
2017-12-31,12755.6
2018-01-01,13154.7
2018-01-02,13163.6
2018-01-03,14844.5
2018-01-04,14522.2
2018-01-05,15202.8
2018-01-06,16764.6
2018-01-07,16087.7
2018-01-08,14208.2
2018-01-09,14424.0
2018-01-10,13691.2
2018-01-11,13105.9
2018-01-12,13158.1
2018-01-13,13952.4
2018-01-14,13268.0
2018-01-15,13641.7
2018-01-16,10194.9
2018-01-17,9402.29
2018-01-18,10942.5
2018-01-19,11172.1
2018-01-20,11656.2
2018-01-21,11288.2
2018-01-22,10240.2
2018-01-23,10129.7
2018-01-24,10639.8
2018-01-25,11057.4
2018-01-26,10470.3
2018-01-27,10989.2
2018-01-28,11475.3
2018-01-29,11179.2
2018-01-30,10036.2
2018-01-31,9777.42
2018-02-01,8812.28
2018-02-02,7796.49
2018-02-03,8251.63
2018-02-04,8031.22
2018-02-05,6756.68
2018-02-06,6048.26
2018-02-07,7236.79
2018-02-08,7637.86
2018-02-09,7884.71
2018-02-10,8295.47
2018-02-11,7931.1
2018-02-12,8141.43
2018-02-13,8455.41
2018-02-14,8599.92
2018-02-15,9395.58
2018-02-16,9824.82
2018-02-17,10149.4
2018-02-18,10326.0
2018-02-19,10513.2
2018-02-20,11231.8
2018-02-21,10479.1
2018-02-22,9939.09
2018-02-23,9734.56
2018-02-24,9546.97
2018-02-25,9407.06
2018-02-26,9501.73
2018-02-27,10246.1
2018-02-28,10393.1
2018-03-01,10352.7
2018-03-02,10850.1
2018-03-03,11002.4
2018-03-04,11136.1
2018-03-05,11443.9
2018-03-06,10694.3
2018-03-07,9692.12
2018-03-08,9335.87
2018-03-09,8513.03
2018-03-10,8828.47
2018-03-11,8607.12
2018-03-12,8956.43
2018-03-13,8958.19
2018-03-14,8068.59
2018-03-15,7783.05
2018-03-16,8005.31
2018-03-17,7812.82
2018-03-18,7397.99
2018-03-19,8182.4
2018-03-20,8389.89
2018-03-21,8846.33
2018-03-22,8564.9
2018-03-23,8360.62
2018-03-24,8665.7
2018-03-25,8449.1
2018-03-26,7921.43
2018-03-27,7797.28
2018-03-28,7809.17
2018-03-29,7081.38
2018-03-30,6683.93
2018-03-31,6863.52
2018-04-01,6526.87
2018-04-02,6816.58
2018-04-03,7072.49
2018-04-04,6803.88
2018-04-05,6644.8
2018-04-06,6575.0
2018-04-07,6630.51
2018-04-08,6919.98
2018-04-09,6661.99
2018-04-10,6704.15
2018-04-11,6817.59
2018-04-12,6806.51
2018-04-13,7758.93
2018-04-14,7846.0
2018-04-15,7999.33
2018-04-16,7925.73
2018-04-17,7881.72
2018-04-18,7886.01
2018-04-19,8138.78
2018-04-20,8244.54
2018-04-21,8652.15
