Date,Price
2016-01-01,0.931442
2016-01-02,0.93656
2016-01-03,0.934313
2016-01-04,0.929835
2016-01-05,0.946543
2016-01-06,0.935708
2016-01-07,0.93583
2016-01-08,0.939715
2016-01-09,0.9736
2016-01-10,0.975099
2016-01-11,0.999216
2016-01-12,1.05
2016-01-13,1.08
2016-01-14,1.1
2016-01-15,1.14
2016-01-16,1.17
2016-01-17,1.21
2016-01-18,1.32
2016-01-19,1.31
2016-01-20,1.35
2016-01-21,1.49
2016-01-22,1.47
2016-01-23,1.5
2016-01-24,1.9
2016-01-25,2.06
2016-01-26,1.99
2016-01-27,2.19
2016-01-28,2.34
2016-01-29,2.3
2016-01-30,2.4
2016-01-31,2.19
2016-02-01,2.12
2016-02-02,2.16
2016-02-03,2.34
2016-02-04,2.44
2016-02-05,2.47
2016-02-06,2.47
2016-02-07,2.54
2016-02-08,2.88
2016-02-09,3.17
2016-02-10,3.78
2016-02-11,4.34
2016-02-12,5.07
2016-02-13,4.19
2016-02-14,4.45
2016-02-15,5.02
2016-02-16,4.03
2016-02-17,3.5
2016-02-18,3.42
2016-02-19,4.27
2016-02-20,4.13
2016-02-21,4.23
2016-02-22,4.64
2016-02-23,5.39
2016-02-24,5.51
2016-02-25,5.55
2016-02-26,5.74
2016-02-27,5.92
2016-02-28,6.24
2016-02-29,6.05
2016-03-01,6.31
2016-03-02,7.37
2016-03-03,8.33
2016-03-04,8.48
2016-03-05,9.97
2016-03-06,9.99
2016-03-07,9.31
2016-03-08,8.82
2016-03-09,9.67
2016-03-10,10.99
2016-03-11,10.39
2016-03-12,11.09
2016-03-13,13.47
2016-03-14,11.58
2016-03-15,12.05
2016-03-16,12.5
2016-03-17,10.44
2016-03-18,8.52
2016-03-19,9.78
2016-03-20,9.57
2016-03-21,10.16
2016-03-22,11.18
2016-03-23,11.24
2016-03-24,10.8
2016-03-25,10.53
2016-03-26,10.59
2016-03-27,10.11
2016-03-28,10.41
2016-03-29,11.35
2016-03-30,11.47
2016-03-31,11.32
2016-04-01,11.4
2016-04-02,11.4
2016-04-03,11.51
2016-04-04,11.02
2016-04-05,10.13
2016-04-06,10.28
2016-04-07,9.95
2016-04-08,9.66
2016-04-09,9.07
2016-04-10,7.46
2016-04-11,8.0
2016-04-12,7.15
2016-04-13,7.07
2016-04-14,8.02
2016-04-15,8.1
2016-04-16,8.11
2016-04-17,8.56
2016-04-18,8.5
2016-04-19,8.6
2016-04-20,8.31
2016-04-21,7.96
2016-04-22,7.67
2016-04-23,7.74
2016-04-24,7.96
2016-04-25,7.24
2016-04-26,7.06
2016-04-27,7.32
2016-04-28,7.17
2016-04-29,7.17
2016-04-30,7.45
2016-05-01,8.43
2016-05-02,8.85
2016-05-03,9.28
2016-05-04,9.27
2016-05-05,9.29
2016-05-06,9.04
2016-05-07,9.21
2016-05-08,8.93
2016-05-09,9.2
2016-05-10,9.26
2016-05-11,9.39
2016-05-12,9.86
2016-05-13,10.02
2016-05-14,9.81
2016-05-15,9.93
2016-05-16,9.97
2016-05-17,11.15
2016-05-18,12.18
2016-05-19,13.34
2016-05-20,13.38
2016-05-21,13.12
2016-05-22,13.77
2016-05-23,13.19
2016-05-24,12.01
2016-05-25,11.77
2016-05-26,12.06
2016-05-27,10.5
2016-05-28,10.37
2016-05-29,11.78
2016-05-30,12.27
2016-05-31,12.64
2016-06-01,13.44
2016-06-02,13.63
2016-06-03,13.25
2016-06-04,13.42
2016-06-05,13.57
2016-06-06,13.73
2016-06-07,13.81
2016-06-08,14.28
2016-06-09,14.34
2016-06-10,13.82
2016-06-11,13.72
